"Ulpin","OBJECTID_1","M_KHAS_ID","IDS","M_PAR_ID","DIST_NM","SUBDIV_ID","SUBDIV_NM","VILL_ID","VILL_NM","M_KHASRA_R","M_KHASRA_N","M_MIN_NO","TYPE","SUB_TYPE","PAT_PAR","PAT_STS","D_SOURCE","URBANBODY","Remarks","Validated","Date","name_date","VIL_NM_NIC","DIS_NM_NIC","SD_NM_NIC","VIL_CO_NIC","RE_2019","Shape_Leng","Shape_Area","DIS_CEN_CO","SUBD_CEN_C","VILL_CEN_C","M_KH_R","M_KH_N","M_MIN_N"
"86KB7LDA0R7QH0","1","698135.337079702,3171029.4241183","4/3","248","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","4","3","0","AGRICULTURE","AGRICULTURE","4/3/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","249.266824496","3863.6127873","96","450","63996","0","","0"
"86KBCJDA0QGMH0","2","698065.353547559,3171044.80667544","4/2/1","249","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","4","2/1","0","AGRICULTURE","AGRICULTURE","4/2/1","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","199.644427995","2031.34705769","96","450","63996","0","","0"
"86KB8QDA0PPLH0","3","697996.065708036,3171030.55267894","4/1","250","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","4","1","0","AGRICULTURE","AGRICULTURE","4/1/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","252.652983191","3981.49309813","96","450","63996","0","","0"
"86KB8MDA0SNTH0","4","698283.76801542,3171034.65638655","4/5/2","251","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","4","5/2","0","AGRICULTURE","AGRICULTURE","4/5/2","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","195.752900722","2311.77054718","96","450","63996","0","","0"
"86KB8DDA0SD3H0","5","698249.945521099,3171033.22575672","4/5/1","252","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","4","5/1","0","AGRICULTURE","AGRICULTURE","4/5/1","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","170.777878586","1596.06599502","96","450","63996","0","","0"
"86KB8RDA0T99H0","6","698335.808693039,3171036.40130087","3/1","253","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","3","1","0","AGRICULTURE","AGRICULTURE","3/1/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","246.186204459","3798.5900688","96","450","63996","0","","0"
"86KB89DA0RU1H0","7","698205.266360559,3171032.00549711","4/4","254","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","4","4","0","AGRICULTURE","AGRICULTURE","4/4/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","238.292115703","3550.41233327","96","450","63996","0","","0"
"86KBZLDA0SYTH0","8","698266.945138546,3171091.42933149","1/25","260","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","1","25","0","AGRICULTURE","AGRICULTURE","1/25/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","247.46374373","3829.27274103","96","450","63996","0","","0"
"86KBPBDA0PRUH0","9","698001.622268151,3171084.4456409","1/21","261","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","1","21","0","AGRICULTURE","AGRICULTURE","1/21/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","224.876119317","2977.97582351","96","450","63996","0","","0"
"86KBZNDA0QGMH0","10","698064.733210587,3171088.25962635","1/22","262","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","1","22","0","AGRICULTURE","AGRICULTURE","1/22/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","257.850671111","4142.11645259","96","450","63996","0","","0"
"86KBZEDA0RTFH0","11","698202.518543635,3171089.41286507","1/24","263","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","1","24","0","AGRICULTURE","AGRICULTURE","1/24/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","239.950375001","3581.68252635","96","450","63996","0","","0"
"86KBZ6DA0R7GH0","12","698133.621669912,3171087.34305559","1/23","264","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","1","23","0","AGRICULTURE","AGRICULTURE","1/23/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","252.078679858","3947.98037271","96","450","63996","0","","0"
"86K7THDA0NYQH0","13","697784.319108242,3170656.23833718","7/8","167","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","7","8","0","AGRICULTURE","AGRICULTURE","7/8/0","G","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","345.605683619","7107.88586408","96","450","63996","0","","0"
"86K80SDA0MTEH0","14","697720.728604623,3170663.47456319","7/9","168","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","7","9","0","AGRICULTURE","AGRICULTURE","7/9/0","G","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","370.291049987","7779.36845288","96","450","63996","0","","0"
"86K84UDA0LU3H0","15","697624.623354148,3170676.34306696","6/6/1","170","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","6","6/1","0","AGRICULTURE","AGRICULTURE","6/6/1","G","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","267.566189749","842.396924352","96","450","63996","0","","0"
"86K87CDA0LA1H0","16","697561.702537507,3170686.37713702","6/7/1","171","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","6","7/1","0","AGRICULTURE","AGRICULTURE","6/7/1","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","278.988745633","996.174728832","96","450","63996","0","","0"
"86K86EDA0LK4H0","17","697593.282485564,3170682.05773649","6/6/2","172","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","6","6/2","0","AGRICULTURE","AGRICULTURE","6/6/2","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","371.016947714","7208.05014413","96","450","63996","0","","0"
"86K881DA0KUKH0","18","697525.856421868,3170676.26059337","6/7/2","173","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","6","7/2","0","AGRICULTURE","AGRICULTURE","6/7/2","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","397.86611008","7650.56926352","96","450","63996","0","","0"
"86K8JADA0ZTBH0","19","697914.302859285,3170741.66906701","7/5","179","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","7","5","0","AGRICULTURE","AGRICULTURE","7/5/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","246.126560337","3309.61229209","96","450","63996","0","","0"
"86K8M4DA0Z9MH0","20","697852.684609014,3170741.6456611","7/4/1","181","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","7","4/1","0","AGRICULTURE","AGRICULTURE","7/4/1","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","271.32029192","4593.23386917","96","450","63996","0","","0"
"86KC9DDA0RT1H0","21","698199.93607451,3171147.19689518","1/17","266","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","1","17","0","AGRICULTURE","AGRICULTURE","1/17/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","239.556118788","3597.66491587","96","450","63996","0","","0"
"86KC9BDA0R79H0","22","698132.023735922,3171145.43653668","1/18","267","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","1","18","0","AGRICULTURE","AGRICULTURE","1/18/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","248.891729241","3862.40386837","96","450","63996","0","","0"
"86KCCYDA0QK8H0","23","698073.747161374,3171153.53185438","1/19/1","268","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","1","19/1","0","AGRICULTURE","AGRICULTURE","1/19/1","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","186.694117345","1791.4751227","96","450","63996","0","","0"
"86KCALDA0SCMH0","24","698253.295421003,3171141.10594328","1/16","269","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","1","16","0","AGRICULTURE","AGRICULTURE","1/16/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","227.648542433","2112.92687215","96","450","63996","0","","0"
"86KCRZDA0RZEH0","25","698189.772873749,3171200.67380347","1/14","270","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","1","14","0","AGRICULTURE","AGRICULTURE","1/14/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","230.078146217","2454.93214312","96","450","63996","0","","0"
"86KCTKDA0R93H0","26","698131.137703243,3171205.73004548","1/13","271","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","1","13","0","AGRICULTURE","AGRICULTURE","1/13/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","300.346875924","4370.30639512","96","450","63996","0","","0"
"86KBAJDA0TT7H0","27","698392.334363712,3171038.88427696","3/2/1","255","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","3","2","0","AGRICULTURE","AGRICULTURE","3/2/0","GP","14-05-2013","MCD","Khasra Polygon Merged","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","259.824595053","3651.9204309","96","450","63996","0","","0"
"86K90VDA0Q1TH0","28","698026.320022827,3170785.15689617","4/22/3","192","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","4","22/3","0","AGRICULTURE","AGRICULTURE","4/22/3","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","117.77728784","595.715230124","96","450","63996","0","","0"
"86KBM9DA0T8SH0","29","698333.607948131,3171084.17391434","2/21/1","16","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","2","21/1","0","WATER BODIES","WELL","2/21/1","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","53.6608251604","170.693590204","96","450","63996","0","","0"
"86KBZUDA0T85H0","30","698329.311742036,3171086.42266451","2/21/2","259","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","2","21/2","0","AGRICULTURE","AGRICULTURE","2/21/2","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","275.913074113","2387.94401843","96","450","63996","0","","0"
"86KC4NDA0QF2H0","31","698058.688996433,3171127.25588511","1/19/2","265","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","1","19/2","0","AGRICULTURE","AGRICULTURE","1/19/2","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","208.722929075","1569.95972937","96","450","63996","0","","0"
"86K9CPDA0PEUH0","32","697965.783827054,3170822.57567921","4/20/1/2","12","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","4","20/1","0","WATER BODIES","WELL","4/20/1","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","56.6753904195","169.97887756","96","450","63996","0","","0"
"86K8AVDA0M6CH0","33","697648.320966682,3170702.43324014","7/10/1","2","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","7","10/1","0","WATER BODIES","TANKPOND LAKE","7/10/1","G","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","83.9585038663","394.115257758","96","450","63996","0","","0"
"86K7E9DA0L9LH0","34","697561.628521698,3170599.15935242","6/14/1","9","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","6","14/1","0","WATER BODIES","WELL","6/14/1","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","43.5150613756","120.841426832","96","450","63996","0","","0"
"86K6Z2DA0LKFH0","35","697598.277842995,3170527.29870394","6/16/2","107","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","6","16/2","0","AGRICULTURE","AGRICULTURE","6/16/2","G","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","236.563044953","3703.21209715","96","450","63996","0","","0"
"86K6TQDA0L46H0","36","697539.835537096,3170551.0199937","6/17","109","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","6","17","0","AGRICULTURE","AGRICULTURE","6/17/0","G","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","209.646788157","2104.06925465","96","450","63996","0","","0"
"86K6PUDA0M86H0","37","697654.415543694,3170537.45103554","7/20","112","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","7","20","0","AGRICULTURE","AGRICULTURE","7/20/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","212.584839507","2489.17973129","96","450","63996","0","","0"
"86K73NDA0M90H0","38","697657.659194947,3170563.21952477","7/11/2","121","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","7","11/2","0","AGRICULTURE","AGRICULTURE","7/11/2","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","136.548262584","495.570089014","96","450","63996","0","","0"
"86K6UZDA0MZCH0","39","697707.319183049,3170551.99286346","7/12/2","123","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","7","12/3","0","AGRICULTURE","AGRICULTURE","7/12/3","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","144.380654173","832.627901721","96","450","63996","0","","0"
"86K7CZDA0KA1H0","40","697474.156825781,3170596.4497568","6/13","135","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","6","13","0","AGRICULTURE","AGRICULTURE","6/13/0","G","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","238.833325244","3281.69510649","96","450","63996","0","","0"
"86K7DPDA0KUCH0","41","697532.279013741,3170595.78807119","6/14/2","136","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","6","14/2","0","AGRICULTURE","AGRICULTURE","6/14/2","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","258.432198688","3244.01235459","96","450","63996","0","","0"
"86K7BNDA0LKNH0","42","697596.995050809,3170590.72867361","6/15","137","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","6","15","0","AGRICULTURE","AGRICULTURE","6/15/0","G","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","234.167719911","3280.44094794","96","450","63996","0","","0"
"86K7B0DA0M97H0","43","697658.27687155,3170588.90213226","7/11/1","138","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","7","11/1","0","AGRICULTURE","AGRICULTURE","7/11/1","G","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","208.908901503","2619.10058095","96","450","63996","0","","0"
"86K7AQDA0N5YH0","44","697722.066143863,3170591.3223448","7/12/1","139","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","7","12/1","0","AGRICULTURE","AGRICULTURE","7/12/1","G","14-05-2013","MCD","Khasra Polygon Merged","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","26-03-2019","262.897360344","2545.47055948","96","450","63996","0","","0"
"86K80EDA0Z2DH0","45","697840.503691049,3170681.87356196","7/7","165","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","7","4/2","0","AGRICULTURE","AGRICULTURE","7/4/2","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","274.867313343","2784.43310808","96","450","63996","0","","0"
"86K3RRDA0QJDH0","46","698087.962612574,3170212.66056983","9/19/1","29","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","9","19/1","0","WATER BODIES","WELL","9/19/1","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","37.9679934782","88.6342199321","96","450","63996","0","","0"
"86K470DA0PRNH0","47","698009.863395659,3170254.64099056","9/20","34","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","9","20","0","AGRICULTURE","AGRICULTURE","9/20/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","202.730100454","1848.8839877","96","450","63996","0","","0"
"86K413DA0QE9H0","48","698073.730679193,3170234.74002287","9/19/2","35","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","9","19/2","0","AGRICULTURE","AGRICULTURE","9/19/2","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","303.330182584","4032.98231491","96","450","63996","0","","0"
"86K45FDA0R4JH0","49","698138.906248121,3170245.01946907","9/18/1","36","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","9","18/1","0","AGRICULTURE","AGRICULTURE","9/18/1","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","206.450580563","2365.02796163","96","450","63996","0","","0"
"86K4HUDA0P6LH0","50","697943.031729823,3170291.56520953","8/15/2","42","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","8","15/2","0","AGRICULTURE","AGRICULTURE","8/15/2","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","189.459809343","1478.85725238","96","450","63996","0","","0"
"86K4KCDA0PN7H0","51","698000.709608724,3170295.51744775","9/11","44","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","9","11","0","AGRICULTURE","AGRICULTURE","9/11/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","234.144535182","3316.69060694","96","450","63996","0","","0"
"86K4YJDA0QDLH0","52","698067.065262541,3170290.6880952","9/12","45","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","9","12","0","AGRICULTURE","AGRICULTURE","9/12/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","236.90219709","3418.55759665","96","450","63996","0","","0"
"86K4HADA0R4BH0","53","698137.523507235,3170287.09415746","9/13","46","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","9","13","0","AGRICULTURE","AGRICULTURE","9/13/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","237.2658381","3426.47599529","96","450","63996","0","","0"
"86K4GNDA0RPQH0","54","698204.588069911,3170286.04181924","9/14","47","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","9","14","0","AGRICULTURE","AGRICULTURE","9/14/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","231.167309632","3278.20856324","96","450","63996","0","","0"
"86K52SDA0P1YH0","55","697932.182214376,3170343.30591842","8/6/2","54","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","8","6/2","0","AGRICULTURE","AGRICULTURE","8/6/2","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","200.965480773","2252.11391626","96","450","63996","0","","0"
"86K51NDA0PMPH0","56","697998.379952718,3170339.70774768","9/10/2","55","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","9","10/2","0","AGRICULTURE","AGRICULTURE","9/10/2","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","213.964590349","2612.06188529","96","450","63996","0","","0"
"86K4V0DA0QDCH0","57","698064.930767881,3170335.03508845","9/9/2","56","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","9","9/2","0","AGRICULTURE","AGRICULTURE","9/9/2","P","14-05-2013","MCD","Khasra Polygon Merged","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","217.729659902","2695.41461442","96","450","63996","0","","0"
"86K5A7DA0P17H0","58","697929.160531105,3170368.30910312","8/6/1","59","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","8","6/1","0","AGRICULTURE","AGRICULTURE","8/6/1","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","163.257466292","994.276143516","96","450","63996","0","","0"
"86K575DA0QD5H0","59","698063.545443857,3170360.63708615","9/9/1","61","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","9","9/1","0","AGRICULTURE","AGRICULTURE","9/9/1","P","14-05-2013","MCD","Khasra Polygon Merged","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","162.680829851","846.407951657","96","450","63996","0","","0"
"86K4V0DA0RPKH0","60","698203.26120716,3170336.64466564","9/7","64","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","9","7","0","AGRICULTURE","AGRICULTURE","9/7/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","236.035301181","3417.28964831","96","450","63996","0","","0"
"86K4V0DA0SG2H0","61","698270.860152224,3170338.19711753","9/6","65","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","9","6","0","AGRICULTURE","AGRICULTURE","9/6/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","239.899320037","3510.4954542","96","450","63996","0","","0"
"86K5K2DA0ZASH0","62","697862.529024266,3170402.95381817","8/4/2","71","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","8","4/2","0","AGRICULTURE","AGRICULTURE","8/4/2","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","210.893434427","2511.54492497","96","450","63996","0","","0"
"86K5QSDA0ZAJH0","63","697861.056261964,3170426.99822217","8/4/1","76","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","8","4/1","0","AGRICULTURE","AGRICULTURE","8/4/1","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","157.985314537","726.107656173","96","450","63996","0","","0"
"86K5H8DA0PM4H0","64","697995.359734533,3170394.48907475","9/1","78","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","9","1","0","AGRICULTURE","AGRICULTURE","9/1/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","235.55092511","3368.60295947","96","450","63996","0","","0"
"86K5EFDA0R3MH0","65","698133.611278183,3170387.97713442","9/3","80","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","9","3","0","AGRICULTURE","AGRICULTURE","9/3/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","237.985044339","3404.63246733","96","450","63996","0","","0"
"86K5E1DA0RPDH0","66","698201.730549895,3170387.2469008","9/4","81","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","9","4","0","AGRICULTURE","AGRICULTURE","9/4/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","231.736666414","3302.13137578","96","450","63996","0","","0"
"86K5EYDA0T61H0","67","698336.560695005,3170391.40644678","13/1","83","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","13","1","0","AGRICULTURE","AGRICULTURE","13/1/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","228.930959262","3221.00448126","96","450","63996","0","","0"
"86K3L7DA0R4VH0","68","698143.987744892,3170193.62933802","9/23/1","26","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","9","23","0","AGRICULTURE","AGRICULTURE","9/23/0","GP","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","203.272096961","2234.20393476","96","450","63996","0","","0"
